刹车力度,油门力度,LapTime,电机功率,时速,image_name
0,49,00:26.81,321,144,2026-01-31_15-47-51_Front_frame_005640.jpg
0,45,00:27.16,318,148,2026-01-31_15-47-51_Front_frame_005650.jpg
0,33,00:27.48,277,150,2026-01-31_15-47-51_Front_frame_005660.jpg
0,0,00:27.81,181,152,2026-01-31_15-47-51_Front_frame_005670.jpg
16,0,00:28.14,0,151,2026-01-31_15-47-51_Front_frame_005680.jpg
31,0,00:28.47,0,148,2026-01-31_15-47-51_Front_frame_005690.jpg
33,0,00:28.81,0,145,2026-01-31_15-47-51_Front_frame_005700.jpg
39,0,00:29.14,0,138,2026-01-31_15-47-51_Front_frame_005710.jpg
40,0,00:29.47,0,135,2026-01-31_15-47-51_Front_frame_005720.jpg
41,0,00:29.82,0,126,2026-01-31_15-47-51_Front_frame_005730.jpg
40,0,00:30.14,0,122,2026-01-31_15-47-51_Front_frame_005740.jpg
43,0,00:30.47,0,113,2026-01-31_15-47-51_Front_frame_005750.jpg
45,0,00:30.81,0,105,2026-01-31_15-47-51_Front_frame_005760.jpg
50,0,00:31.14,0,98,2026-01-31_15-47-51_Front_frame_005770.jpg
51,0,00:31.47,0,93,2026-01-31_15-47-51_Front_frame_005780.jpg
24,0,00:31.81,0,81,2026-01-31_15-47-51_Front_frame_005790.jpg
5,0,00:32.15,0,77,2026-01-31_15-47-51_Front_frame_005800.jpg
0,0,00:32.49,0,76,2026-01-31_15-47-51_Front_frame_005810.jpg
0,0,00:32.81,0,74,2026-01-31_15-47-51_Front_frame_005820.jpg
0,0,00:33.15,0,72,2026-01-31_15-47-51_Front_frame_005830.jpg
0,0,00:33.49,0,70,2026-01-31_15-47-51_Front_frame_005840.jpg
0,0,00:33.81,0,69,2026-01-31_15-47-51_Front_frame_005850.jpg
0,45,00:34.14,0,67,2026-01-31_15-47-51_Front_frame_005860.jpg
0,55,00:34.48,171,69,2026-01-31_15-47-51_Front_frame_005870.jpg
0,66,00:34.84,285,76,2026-01-31_15-47-51_Front_frame_005880.jpg
0,77,00:35.14,407,82,2026-01-31_15-47-51_Front_frame_005890.jpg
0,85,00:35.47,573,95,2026-01-31_15-47-51_Front_frame_005900.jpg
0,100,00:35.82,707,102,2026-01-31_15-47-51_Front_frame_005910.jpg
0,100,00:36.17,987,122,2026-01-31_15-47-51_Front_frame_005920.jpg
0,100,00:36.51,917,131,2026-01-31_15-47-51_Front_frame_005930.jpg
0,100,00:36.84,392,141,2026-01-31_15-47-51_Front_frame_005940.jpg
0,100,00:37.17,976,147,2026-01-31_15-47-51_Front_frame_005950.jpg
0,100,00:37.51,972,160,2026-01-31_15-47-51_Front_frame_005960.jpg
0,100,00:37.83,979,165,2026-01-31_15-47-51_Front_frame_005970.jpg
0,100,00:38.17,964,176,2026-01-31_15-47-51_Front_frame_005980.jpg
0,77,00:38.53,963,185,2026-01-31_15-47-51_Front_frame_005990.jpg
0,39,00:38.84,862,188,2026-01-31_15-47-51_Front_frame_006000.jpg
0,0,00:39.16,0,188,2026-01-31_15-47-51_Front_frame_006010.jpg
27,0,00:39.51,0,186,2026-01-31_15-47-51_Front_frame_006020.jpg
